unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date
51962535,2021-09-23T01:14:45.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10472,1226 ROSEDALE AVENUE,ROSEDALE AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,09 BRONX,2037610017,BRONX,1020531,241830,PHONE,Unspecified,BRONX,40.830368406340405,-73.8688978938157,"{'latitude': '40.830368406340405', 'longitude': '-73.8688978938157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51967656,2021-09-23T01:26:54.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10301,369 JERSEY STREET,JERSEY STREET,ADDRESS,STATEN ISLAND,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,01 STATEN ISLAND,5000440001,STATEN ISLAND,960020,172267,PHONE,Unspecified,STATEN ISLAND,40.63947658316061,-74.08730508821439,"{'latitude': '40.63947658316061', 'longitude': '-74.08730508821439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51966056,2021-09-23T01:59:54.000,HPD,Department of Housing Preservation and Development,GENERAL,SIGNAGE MISSING,RESIDENTIAL BUILDING,11375,61-26 GRAND CENTRAL PARKWAY SR WEST,GRAND CENTRAL PARKWAY SR WEST,ADDRESS,Forest Hills,Closed,The Department of Housing Preservation and Development contacted an occupant of the apartment or building and verified that the complaint was addressed.  The complaint has been closed.,2021-09-27T00:00:00.000,06 QUEENS,,QUEENS,1026715,208335,ONLINE,Unspecified,QUEENS,40.738406135472935,-73.84676366015904,"{'latitude': '40.738406135472935', 'longitude': '-73.84676366015904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-27T09:03:11.000
51958759,2021-09-23T02:15:03.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11206,618 MARCY AVENUE,MARCY AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2021-09-28T00:00:00.000,03 BROOKLYN,3017660047,BROOKLYN,998444,191885,PHONE,Unspecified,BROOKLYN,40.69334538952849,-73.94881512638472,"{'latitude': '40.69334538952849', 'longitude': '-73.94881512638472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-28T16:51:35.000
51965015,2021-09-23T02:15:30.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11208,126 GRANT AVENUE,GRANT AVENUE,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,05 BROOKLYN,3041220031,BROOKLYN,1020770,189945,PHONE,Unspecified,BROOKLYN,40.68795657482866,-73.86831611141713,"{'latitude': '40.68795657482866', 'longitude': '-73.86831611141713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51962538,2021-09-23T02:18:12.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10470,4727 WHITE PLAINS ROAD,WHITE PLAINS ROAD,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2021-09-27T00:00:00.000,12 BRONX,2051070030,BRONX,1025763,268749,PHONE,Unspecified,BRONX,40.904229715615614,-73.8498252323202,"{'latitude': '40.904229715615614', 'longitude': '-73.8498252323202', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-27T14:56:28.000
51965217,2021-09-23T02:51:19.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10455,643 CAULDWELL AVENUE,CAULDWELL AVENUE,ADDRESS,BRONX,Open,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 579-6777 (BRONX).",2021-09-23T00:00:00.000,01 BRONX,2026240084,BRONX,1009236,236725,ONLINE,Unspecified,BRONX,40.81639581193592,-73.90973157229158,"{'latitude': '40.81639581193592', 'longitude': '-73.90973157229158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51965134,2021-09-23T04:21:44.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10453,1680 NELSON AVENUE,NELSON AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,05 BRONX,2028760163,BRONX,1007111,248212,ONLINE,Unspecified,BRONX,40.8479300648583,-73.9173695363416,"{'latitude': '40.8479300648583', 'longitude': '-73.9173695363416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51963484,2021-09-23T04:24:38.000,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,11379,66-06 70 STREET,70 STREET,ADDRESS,Middle Village,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2021-09-26T00:00:00.000,05 QUEENS,4030487502,QUEENS,1016108,199589,PHONE,Unspecified,QUEENS,40.71444508262168,-73.88508071895389,"{'latitude': '40.71444508262168', 'longitude': '-73.88508071895389', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-26T17:47:11.000
51961312,2021-09-23T04:27:34.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11365,71-16 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,Fresh Meadows,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-27T00:00:00.000,08 QUEENS,4067930126,QUEENS,1036644,205213,PHONE,Unspecified,QUEENS,40.72978378668749,-73.81095895243591,"{'latitude': '40.72978378668749', 'longitude': '-73.81095895243591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-27T02:03:46.000
51959780,2021-09-23T04:36:02.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Open,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 579-6777 (BRONX).",2021-09-23T00:00:00.000,04 BRONX,2025110068,BRONX,1003936,242233,PHONE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51958733,2021-09-23T04:39:55.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10025,311 WEST   95 STREET,WEST   95 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2021-09-24T00:00:00.000,07 MANHATTAN,1012530064,MANHATTAN,991397,228844,ONLINE,Unspecified,MANHATTAN,40.79479708362501,-73.9741879838827,"{'latitude': '40.79479708362501', 'longitude': '-73.9741879838827', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-24T16:46:49.000
51959642,2021-09-23T04:46:20.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10452,1475 WALTON AVENUE,WALTON AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,04 BRONX,2028440058,BRONX,1007815,245735,PHONE,Unspecified,BRONX,40.84112957874333,-73.91483365363321,"{'latitude': '40.84112957874333', 'longitude': '-73.91483365363321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51959804,2021-09-23T04:48:05.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2021-09-24T00:00:00.000,04 BRONX,2025110068,BRONX,1003936,242233,PHONE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-24T15:45:34.000
51963788,2021-09-23T04:57:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10025,311 WEST   95 STREET,WEST   95 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,07 MANHATTAN,1012530064,MANHATTAN,991397,228844,PHONE,Unspecified,MANHATTAN,40.79479708362501,-73.9741879838827,"{'latitude': '40.79479708362501', 'longitude': '-73.9741879838827', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51963357,2021-09-23T05:04:09.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2021-09-28T00:00:00.000,04 BRONX,2025110068,BRONX,1003936,242233,PHONE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-28T13:08:09.000
51965841,2021-09-23T05:04:12.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10033,15 WADSWORTH AVENUE,WADSWORTH AVENUE,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,12 MANHATTAN,1021430008,MANHATTAN,1001304,247190,PHONE,Unspecified,MANHATTAN,40.84513810152414,-73.93836137134306,"{'latitude': '40.84513810152414', 'longitude': '-73.93836137134306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51962533,2021-09-23T05:10:19.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2021-09-28T00:00:00.000,04 BRONX,2025110068,BRONX,1003936,242233,PHONE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-28T13:08:09.000
51962095,2021-09-23T05:21:19.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-28T00:00:00.000,04 BRONX,2025110068,BRONX,1003936,242233,PHONE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-28T13:08:09.000
51964320,2021-09-23T05:52:43.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11691,11-27 NAMEOKE STREET,NAMEOKE STREET,ADDRESS,Far Rockaway,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2021-09-23T00:00:00.000,14 QUEENS,4155440010,QUEENS,1053801,159790,ONLINE,Unspecified,QUEENS,40.60499003181828,-73.74952427206216,"{'latitude': '40.60499003181828', 'longitude': '-73.74952427206216', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-23T13:23:20.000
51963909,2021-09-23T06:01:55.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,11206,417 LORIMER STREET,LORIMER STREET,ADDRESS,BROOKLYN,Open,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",2021-09-23T00:00:00.000,01 BROOKLYN,3030220025,BROOKLYN,998497,197731,ONLINE,Unspecified,BROOKLYN,40.70939120268948,-73.94861163637752,"{'latitude': '40.70939120268948', 'longitude': '-73.94861163637752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51958654,2021-09-23T06:10:57.000,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,11379,66-06 70 STREET,70 STREET,ADDRESS,Middle Village,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,05 QUEENS,4030487502,QUEENS,1016108,199589,PHONE,Unspecified,QUEENS,40.71444508262168,-73.88508071895389,"{'latitude': '40.71444508262168', 'longitude': '-73.88508071895389', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51961105,2021-09-23T06:10:58.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10463,3816 REVIEW PLACE,REVIEW PLACE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2021-09-23T00:00:00.000,08 BRONX,2032710132,BRONX,1012016,261732,ONLINE,Unspecified,BRONX,40.88502426998677,-73.89958454267529,"{'latitude': '40.88502426998677', 'longitude': '-73.89958454267529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-23T18:26:56.000
51967730,2021-09-23T06:19:54.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11369,30-05 95 STREET,95 STREET,ADDRESS,East Elmhurst,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,03 QUEENS,4013930053,QUEENS,1019197,216543,PHONE,Unspecified,QUEENS,40.760967904010215,-73.87384991274276,"{'latitude': '40.760967904010215', 'longitude': '-73.87384991274276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51959813,2021-09-23T06:35:16.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10025,218 WEST  104 STREET,WEST  104 STREET,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2021-09-24T00:00:00.000,07 MANHATTAN,1018750041,MANHATTAN,993278,230533,ONLINE,Unspecified,MANHATTAN,40.79943120771864,-73.96739231760297,"{'latitude': '40.79943120771864', 'longitude': '-73.96739231760297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-24T16:46:50.000
51963707,2021-09-23T06:45:00.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,80 CLARKSON AVENUE,CLARKSON AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2021-09-27T00:00:00.000,14 BROOKLYN,3050640047,BROOKLYN,996079,177904,ONLINE,Unspecified,BROOKLYN,40.65497417048326,-73.95736807000814,"{'latitude': '40.65497417048326', 'longitude': '-73.95736807000814', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-27T15:03:59.000
51961352,2021-09-23T06:53:29.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11212,94 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,ADDRESS,BROOKLYN,Open,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",2021-09-23T00:00:00.000,17 BROOKLYN,3046150011,BROOKLYN,1005529,181184,PHONE,Unspecified,BROOKLYN,40.6639593791275,-73.923299761958,"{'latitude': '40.6639593791275', 'longitude': '-73.923299761958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51966071,2021-09-23T06:56:28.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10472,1144 STRATFORD AVENUE,STRATFORD AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2021-09-23T00:00:00.000,09 BRONX,2037440062,BRONX,1018793,240926,MOBILE,Unspecified,BRONX,40.82789415595705,-73.87518283684246,"{'latitude': '40.82789415595705', 'longitude': '-73.87518283684246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-23T18:01:27.000
51966303,2021-09-23T07:08:15.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10462,1716 WHITE PLAINS ROAD,WHITE PLAINS ROAD,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-24T00:00:00.000,11 BRONX,2040330036,BRONX,1021402,246854,PHONE,Unspecified,BRONX,40.84415419294655,-73.86572269443964,"{'latitude': '40.84415419294655', 'longitude': '-73.86572269443964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-24T17:15:52.000
51963522,2021-09-23T07:13:44.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10460,1967 MARMION AVENUE,MARMION AVENUE,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However, HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and a violation was issued. Information about specific violations is available at www.nyc.gov/hpd.",2021-09-23T00:00:00.000,06 BRONX,2031070036,BRONX,1015606,246613,PHONE,Unspecified,BRONX,40.843515202688536,-73.8866720963765,"{'latitude': '40.843515202688536', 'longitude': '-73.8866720963765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-23T20:45:29.000
51966000,2021-09-23T07:17:59.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10027,225 WEST  121 STREET,WEST  121 STREET,ADDRESS,NEW YORK,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2021-09-24T00:00:00.000,10 MANHATTAN,1019270017,MANHATTAN,997780,233225,PHONE,Unspecified,MANHATTAN,40.80681426120282,-73.95112639643952,"{'latitude': '40.80681426120282', 'longitude': '-73.95112639643952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-24T12:09:06.000
